J,Jpp,Kc_aprox,Kcpp_aprox,active_B0a,active_B0b,active_B0c,active_dipole,active_m,active_polar,active_rms_quadrupole,active_weight,broadness_jeanna,d_act_per,is_self,m,perturber_B0a,perturber_B0b,perturber_B0c,perturber_dipole,perturber_m,perturber_polar,perturber_rms_quadrupole,perturber_weight
84.0,140.0,68.5,92.0,5.182,0.25021,1.92252895,1.6331,4.0,19.029,3.65367851,95.92568,0.12061224,326.5,0.0,6.0,20.47007,0.20285674,1.67195,1.826526,4.0,2.515,1.70683411,28.0134
22.5,153.0,46.0,0.5,4.828,20.5597234,60.853,1.38,2.0,2.247,2.23345025,64.064,0.05196981,373.0,1.0,10.0,20.46362,1.67195,1.6227512,1.847,2.0,3.438,2.51258831,16.0425
137.0,165.0,61.0,57.5,20.47007,0.20285674,0.36749,0.45,4.0,3.02,1.3576325,93.9529,0.03679119,369.5,0.0,8.64,4.25240851,0.62048896,9.27770838,0.11011,2.0,1.71,1.95366544,28.0101
36.0,117.0,36.5,34.5,5.24631,6.42637,60.853,1.51,6.0,2.507,1.64048773,35.976793,0.05367046,352.5,1.0,10.0,20.47007,8.34923939,1.43767,0.0,2.64,2.54,0.2192031,44.071
158.0,140.0,79.5,45.0,4.828,0.3528,0.2935265,1.67229184,2.0,19.029,3.02500281,16.0425,0.0496352,344.7,1.0,6.0,0.346,0.82323552,1.6227512,0.715,4.0,5.61,2.09633013,76.141
70.5,65.0,74.5,81.5,3.09855,0.346,0.173,1.957,4.0,2.448,2.09633013,34.0329,0.05141102,444.4,1.0,6.0,20.47007,0.50424,0.62048896,1.826526,4.0,2.448,1.6541585,2.01588
129.0,36.0,7.5,92.0,4.25240851,1.43767,0.8282,1.957,4.0,1.71,2.71717568,64.064,0.06094009,413.8,0.0,4.0,4.25240851,16051.1165,0.79287185,0.159,2.0,1.71,2.43810418,34.0329
20.5,23.5,84.0,47.5,9.40552614,0.346,0.173,2.331,4.0,2.103,3.02500281,30.0061,0.04071358,348.95,0.0,8.64,100000.0,1.69614207,0.09107,0.11011,2.64,1.71,0.83259471,93.9529
145.0,98.0,80.0,86.0,4.25240851,1.67195,0.39021,0.159,2.0,1.501,2.51258831,53.97324,0.06049039,335.3,1.0,4.0,20.46362,8.34923939,0.817084,1.38,2.64,3.438,4.41046071,44.071
61.5,144.0,44.5,121.0,100000.0,0.3528,0.25021,1.6552,4.0,0.787,2.00771188,93.9529,0.03679119,355.0,1.0,6.0,9.94664516,0.62048896,51.3761602,0.828,2.64,8.749,1.95366544,28.0101
3.5,166.0,44.0,59.5,4.828,0.20285674,1.92252895,2.331,4.0,3.438,4.47975717,47.0134,0.04077859,376.0,1.0,6.0,20.47007,9.94664516,10.4401993,1.109,6.0,1.71,0.98570685,93.9529
33.0,25.0,6.0,11.0,5.2412,60.853,10.4401993,0.45,2.0,5.39684463,0.41295036,2.01588,0.04731758,399.5,0.0,10.0,5.24631,8.34923939,0.39021,1.51,4.0,2.515,2.71717568,34.0329
144.0,38.5,40.0,83.0,0.346,60.853,0.62048896,0.828,6.0,0.787,0.0,35.976793,0.06273792,384.2,0.0,10.0,9.94664516,1.6227512,1.43767,1.957,4.0,3.21,2.09633013,2.33375552
52.5,147.0,30.0,2.5,5.1734,0.25021,0.20285674,1.51,6.0,1.698,2.00771188,30.0061,0.05438049,323.5,0.0,4.0,0.346,1.69614207,0.20285674,1.2974,2.64,0.69436,0.41295036,28.0134
19.0,35.5,52.0,21.0,100000.0,0.346,8.34923939,0.159,2.0,5.09,4.47975717,15.0234751,0.05514621,436.6,1.0,8.64,20.46362,0.09107,51.3761602,1.857,2.0,0.8,0.41295036,2.01588
7.0,93.0,106.0,74.0,5.2412,0.3441739,6.22750356,1.957,2.0,3.616,3.65367851,15.0234751,0.10394785,356.95,1.0,10.0,5.182,1.43767,0.39021,1.4719,2.0,3.02,2.09633013,16.0425
30.0,34.5,51.5,58.0,2.0273542,0.62048896,0.25021,0.828,4.0,3.616,0.07071068,18.0153,0.04673175,370.2,1.0,8.0,5.24631,20.5597234,5.2412,0.0,4.0,2.448,0.0,80.063
141.0,5.0,31.0,65.0,5.1734,5.2412,6.42637,0.11011,2.0,1.698,0.78954903,35.976793,0.07399752,366.7,1.0,8.64,100000.0,60.853,0.62048896,1.826526,6.0,5.39684463,2.71717568,44.071
75.5,90.0,64.5,99.0,3.09855,1.29536237,1.67195,1.4719,6.0,3.21,2.23345025,44.071,0.05275517,348.95,0.0,12.0,20.47007,0.32192,60.853,0.828,2.64,1.501,2.71717568,20.00689
107.0,80.5,1.5,92.0,5.2412,9.94664516,60.853,1.81,6.0,0.787,2.23345025,44.071,0.04815153,340.2,1.0,6.0,20.47007,9.94664516,51.3761602,1.67229184,6.0,19.029,0.30886424,18.0153
76.0,113.0,30.5,21.0,0.346,1.67195,1.69614207,1.67229184,4.0,5.39684463,0.84357839,50.96825,0.05231977,448.0,1.0,4.0,9.94664516,1.92252895,1.43767,0.11011,2.64,2.448,0.36769553,20.00689
145.0,162.0,63.0,63.0,9.40552614,9.57789,1.67195,1.2974,2.0,5.453,2.00771188,146.0554,0.05830627,312.5,0.0,4.0,20.47007,0.50424,0.34634,0.11011,6.0,5.09,1.95366544,2.01588
0.5,154.0,81.0,44.5,5.2412,1.0012,18.5519677,1.2974,6.0,3.438,2.09633013,17.0073,0.04071358,317.0,1.0,8.0,100000.0,0.32192,0.09107,1.67229184,6.0,2.103,0.76412215,32.0419
73.5,146.0,21.0,9.0,100000.0,8.34923939,0.4912,1.813,4.0,0.8,2.00771188,2.01588,0.04520578,334.5,1.0,10.0,20.46362,0.82323552,1.6227512,1.67229184,2.64,8.749,1.70683411,28.0134
4.0,16.5,46.0,18.5,2.0273542,0.09107,0.39021,0.828,6.0,5.39684463,0.76412215,28.0134,0.05374875,333.9,1.0,12.0,5.182,16051.1165,0.1091,1.38,2.64,1.71,2.83596962,2.01588
156.0,61.5,4.5,12.5,0.09107,0.3441739,0.173,1.81,6.0,1.136,4.41046071,53.97324,0.05274073,330.2,1.0,12.0,4.25240851,0.346,5.2412,1.957,2.64,2.448,2.09633013,28.97
60.5,89.0,117.0,1.0,100000.0,0.32192,20.5597234,1.38,4.0,3.882,3.02500281,32.0419,0.038572,413.0,1.0,8.0,100000.0,1.67195,0.20285674,1.2974,2.0,5.61,0.36769553,93.9529
74.0,14.0,8.5,2.0,5.1734,8.34923939,0.25021,1.4719,2.0,19.029,4.47975717,95.92568,0.05594409,303.0,1.0,8.0,100000.0,0.20285674,0.20285674,1.857,2.0,3.02,0.07071068,28.0134
46.5,40.0,114.0,28.5,0.09107,8.34923939,0.2935265,0.45,4.0,1.698,2.23345025,17.0305,0.05618405,314.8,1.0,12.0,0.09107,0.1091,1.43767,1.957,2.64,2.103,0.84357839,95.92568
58.5,17.5,73.0,28.0,2.0273542,9.94664516,10.4401993,1.957,4.0,1.71,0.2192031,18.0153,0.04760546,330.2,0.0,10.0,100000.0,0.20285674,0.62048896,1.847,4.0,5.61,2.43810418,17.0305
1.5,77.5,57.5,12.5,4.25240851,0.50424,0.62048896,1.847,4.0,2.54,0.98570685,60.075,0.05830627,353.2,0.0,8.64,5.182,0.50424,0.32192,1.4719,2.0,19.029,0.78954903,53.97324
77.5,16.5,19.0,58.0,100000.0,6.42637,0.25021,1.109,2.0,0.787,0.98570685,79.926277,0.05438049,339.95,1.0,6.0,20.47007,1.69614207,1.43767,0.828,6.0,2.448,1.70683411,35.976793
3.5,68.0,23.5,15.0,0.09107,1.29536237,0.817084,1.62,4.0,1.71,4.41046071,79.926277,0.0496352,380.2,0.0,6.0,20.47007,0.82323552,5.2412,1.81,2.64,2.54,1.70683411,80.063
56.5,62.5,54.5,85.0,20.47007,6.42637,10.4401993,1.6331,6.0,2.54,0.36769553,35.976793,0.0550182,323.5,0.0,8.0,0.09107,0.50424,51.3761602,1.957,6.0,0.69436,1.95366544,50.96825
136.0,59.5,62.5,67.5,4.828,0.62048896,10.4401993,1.826526,2.0,2.507,1.64048773,28.0101,0.13933063,368.5,1.0,10.0,5.182,0.3528,0.62048896,0.828,2.0,3.616,0.98994949,60.075
36.0,78.0,73.0,109.0,20.47007,9.94664516,0.817084,0.0,2.0,3.21,3.02500281,20.00689,0.04467116,331.95,0.0,8.64,4.25240851,0.20285674,1.43767,0.11011,2.0,1.562,4.41046071,79.926277
168.0,54.0,24.5,80.0,20.46362,0.346,9.27770838,1.2974,6.0,7.325,3.65367851,146.0554,0.03201732,370.2,1.0,12.0,20.47007,1.92252895,0.20285674,1.2974,2.64,2.448,1.6541585,20.00689
91.0,5.5,18.0,44.0,20.46362,0.41778,0.32192,0.159,2.0,2.515,2.23345025,17.0073,0.04752233,330.2,0.0,10.0,20.46362,20.5597234,0.34634,1.51,2.64,1.71,2.51258831,35.976793
138.0,24.0,91.0,50.0,100000.0,8.34923939,1.67195,1.813,6.0,3.02,0.07071068,93.9529,0.038572,344.7,0.0,10.0,5.24631,14.5217696,1.43767,1.2974,4.0,2.103,0.0,30.0061
1.5,49.0,91.0,66.5,27.8806313,0.817084,0.79287185,1.4719,2.0,3.02,2.09633013,44.0095,0.11915375,348.95,1.0,12.0,20.47007,9.94664516,0.32192,1.4719,6.0,1.71,0.30886424,44.071
40.5,114.0,105.0,26.0,20.47007,0.3441739,9.27770838,1.62,4.0,3.438,1.3576325,30.0061,0.06977337,376.0,1.0,8.0,100000.0,1.67195,1.67195,1.109,4.0,2.215,2.00771188,95.92568
9.5,22.5,64.5,2.5,5.1734,1.67195,10.4401993,1.67229184,6.0,2.448,0.76412215,35.976793,0.05274073,344.7,1.0,12.0,5.24631,14.5217696,1.43767,0.159,2.64,1.71,0.98570685,44.071
54.0,5.0,61.0,39.0,20.46362,1.92252895,0.25021,0.159,6.0,7.325,0.2192031,15.0234751,0.04760546,358.0,1.0,4.0,5.2412,5.2412,0.79287185,0.828,4.0,1.71,0.07071068,31.9988
154.0,58.0,58.0,67.0,0.346,1.43767,0.20285674,1.826526,6.0,5.61,3.65367851,60.075,0.05675657,376.0,0.0,4.0,0.346,1.43767,20.5597234,1.4719,6.0,1.501,2.43810418,31.9988
66.0,58.0,51.5,49.5,100000.0,0.62048896,0.85179,1.6552,6.0,3.487,1.6541585,34.0329,0.04412344,344.7,1.0,8.0,20.47007,1.69614207,0.32192,1.51,4.0,19.029,1.64048773,146.0554
170.0,55.0,23.0,63.0,5.182,10.4401993,0.25021,0.715,6.0,2.77,4.47975717,141.939,0.04412344,375.0,1.0,10.0,5.24631,10.4401993,0.62048896,1.81,2.0,2.54,0.36769553,80.063
79.0,85.0,78.5,119.0,9.94664516,0.09107,0.25021,0.0,4.0,3.02,0.07071068,17.0073,0.04815153,380.0,1.0,8.64,5.182,0.85179,0.62048896,0.0,2.64,1.562,3.02500281,30.0061
60.5,141.0,12.0,17.0,5.182,0.50424,6.42637,1.4719,4.0,3.21,1.70683411,35.976793,0.038427,377.0,0.0,8.0,9.94664516,0.62048896,0.09107,1.2974,2.64,2.448,0.36769553,60.075
19.0,109.0,100.0,39.0,9.40552614,1.176646,9.27770838,1.38,2.0,19.029,3.65367851,28.0134,0.16984114,331.95,0.0,6.0,0.09107,0.346,10.4401993,1.51,4.0,4.49,1.70683411,2.01588
17.5,40.5,34.5,73.0,9.57789,0.09107,1.13425949,1.51,6.0,2.103,0.36769553,53.97324,0.05920685,352.5,0.0,8.64,5.24631,0.32192,20.5597234,1.826526,6.0,5.39684463,0.98994949,32.0419
158.0,93.0,16.5,45.5,9.57789,9.57789,60.853,1.62,4.0,2.247,2.92049556,26.0373,0.05211999,330.75,0.0,12.0,20.47007,1.67195,1.92252895,1.51,2.64,0.8,2.83596962,28.97
28.0,32.5,110.0,10.5,9.94664516,18.5519677,1.13425949,0.828,4.0,4.188,1.70683411,28.0532,0.06481883,346.0,1.0,4.0,5.182,14.5217696,0.4912,1.81,6.0,1.67892,2.71717568,80.063
10.0,155.0,30.0,49.5,3.09855,14.5217696,1.43767,1.957,2.0,1.136,0.24859606,32.0419,0.0557398,311.45,1.0,8.64,5.2412,0.09107,1.6227512,0.828,6.0,2.515,1.95366544,44.071
60.0,105.0,108.0,79.5,9.57789,8.34923939,1.67195,1.857,6.0,1.71,3.02500281,15.0234751,0.02688417,361.0,0.0,10.0,4.25240851,0.1091,9.27770838,1.38,2.0,3.616,0.98570685,146.0554
17.0,132.0,40.0,45.5,9.40552614,18.5519677,1.69614207,1.81,2.0,4.188,0.24859606,44.0095,0.05248072,338.0,0.0,8.0,0.346,0.32192,8.34923939,0.0,4.0,4.49,0.78954903,60.075
58.0,43.5,52.0,40.0,3.09855,20.5597234,60.853,1.38,2.0,3.438,3.90888629,47.0134,0.1504867,375.0,0.0,12.0,5.182,1.69614207,60.853,0.11011,6.0,1.71,0.30886424,31.9988
60.0,17.0,25.0,103.0,4.828,1.69614207,20.5597234,1.38,2.0,2.507,0.36769553,30.026,0.05514621,347.0,0.0,12.0,5.24631,0.1091,5.2412,1.857,4.0,2.215,0.41295036,35.976793
27.0,35.5,52.0,49.0,5.182,18.5519677,0.32192,1.857,4.0,1.71,0.98570685,44.0095,0.04127771,332.02,0.0,6.0,9.94664516,0.346,5.2412,1.109,2.64,1.562,0.36769553,44.0095
167.0,166.0,53.5,33.0,0.346,0.817084,0.173,2.331,4.0,19.029,2.83596962,17.0073,0.0560216,300.0,0.0,8.0,20.46362,5.2412,0.20285674,1.857,2.0,0.69436,0.41295036,146.0554
28.5,17.5,51.0,120.0,9.57789,60.853,18.5519677,0.0,2.0,7.325,1.64048773,60.075,0.05920685,312.5,1.0,6.0,20.47007,0.62048896,0.817084,0.715,4.0,2.515,0.41295036,28.0134
52.5,161.0,68.5,49.5,5.2412,10.4401993,9.27770838,0.45,6.0,2.507,3.90888629,15.0234751,0.05231977,369.5,0.0,8.64,0.09107,0.817084,0.1091,1.4719,6.0,1.71,0.0,28.0134
46.0,114.0,57.0,15.0,5.182,0.25021,1.176646,0.159,4.0,1.953,0.76412215,79.926277,0.06320568,369.5,1.0,4.0,0.346,1.92252895,0.20285674,0.828,4.0,2.215,2.83596962,53.97324
40.0,40.0,74.5,82.5,5.1734,1.92252895,0.39021,1.2974,4.0,5.61,2.00771188,93.9529,0.05346877,353.2,1.0,8.0,9.94664516,16051.1165,20.5597234,0.11011,6.0,5.61,2.00771188,80.063
54.0,125.0,92.0,25.5,5.182,0.09107,0.4912,0.11011,4.0,5.453,2.09633013,16.0425,0.0557398,470.0,0.0,10.0,9.94664516,1.69614207,6.22750356,0.159,2.0,3.02,0.98570685,53.97324
61.0,27.5,78.5,75.0,2.0273542,0.39021,0.2935265,1.81,4.0,3.02,0.98994949,50.96825,0.09969431,375.0,0.0,8.64,5.24631,0.85179,51.3761602,1.4719,6.0,1.562,0.78954903,16.0425
65.5,102.0,29.5,36.0,5.2412,0.39021,20.5597234,0.828,6.0,3.882,1.95366544,60.075,0.04110102,395.0,0.0,8.64,20.47007,0.20285674,6.22750356,1.51,4.0,2.507,0.36769553,2.33375552
159.0,89.0,89.0,116.0,4.25240851,6.42637,1.92252895,1.62,4.0,3.616,0.07071068,31.9988,0.03201732,376.5,0.0,12.0,0.346,14.5217696,1.69614207,0.828,2.0,0.69436,0.0,28.0134
106.0,28.5,51.0,2.5,9.94664516,60.853,6.42637,1.847,6.0,5.39684463,2.00771188,28.0134,0.05618405,386.7,0.0,4.0,100000.0,1.43767,8.34923939,1.826526,2.0,0.8,4.41046071,93.9529
79.0,11.0,80.5,50.5,4.25240851,0.82323552,1.176646,1.6331,6.0,3.02,2.09633013,44.0095,0.06567769,330.0,1.0,8.64,5.182,14.5217696,0.1091,1.847,2.0,1.953,2.71717568,80.063
142.0,3.0,74.5,14.5,100000.0,60.853,4.74202,1.38,4.0,2.247,4.47975717,15.0234751,0.05438049,354.95,1.0,8.64,5.24631,0.50424,0.34634,0.11011,4.0,2.215,2.09633013,44.0095
156.0,106.0,9.5,84.0,20.46362,60.853,0.09107,0.0,6.0,3.02,0.0,44.0095,0.02688417,376.0,1.0,8.64,20.46362,1.67195,6.22750356,1.826526,2.0,1.71,0.98570685,31.9988
69.0,23.0,27.0,73.5,100000.0,60.853,20.5597234,1.38,2.0,3.438,0.0,79.926277,0.04412344,300.0,1.0,6.0,5.24631,0.1091,0.62048896,1.957,4.0,0.787,4.41046071,50.96825
74.0,93.0,66.0,80.0,9.94664516,5.2412,0.2935265,1.826526,2.0,2.54,0.84357839,34.0329,0.06048193,386.0,1.0,4.0,9.94664516,0.1091,0.09107,1.38,6.0,5.09,2.00771188,50.96825
25.5,31.0,89.0,58.5,5.182,60.853,0.34634,0.11011,2.0,2.247,0.78954903,34.0329,0.04752233,312.5,1.0,10.0,9.94664516,0.1091,0.09107,0.715,2.0,2.103,0.2192031,28.97
82.5,89.0,0.0,85.0,2.0273542,10.4401993,0.2935265,1.6331,2.0,2.54,2.23345025,53.97324,0.03636004,370.0,0.0,8.0,100000.0,0.39021,8.34923939,1.4719,2.64,5.09,0.07071068,28.97
35.5,105.0,50.5,15.0,100000.0,1.29536237,8.34923939,1.957,6.0,1.562,2.51258831,34.0329,0.07815196,371.5,1.0,10.0,5.24631,0.346,1.92252895,1.81,4.0,1.501,0.78954903,146.0554
69.5,5.5,22.5,3.0,27.8806313,0.20285674,1.92252895,1.826526,2.0,1.298,0.84357839,146.0554,0.05274073,436.6,1.0,10.0,0.346,0.39021,0.09107,1.847,6.0,2.103,0.84357839,80.063
160.0,69.5,74.5,86.0,5.182,0.20285674,0.32192,1.51,6.0,19.029,0.78954903,95.92568,0.05467328,331.95,1.0,10.0,100000.0,0.20285674,6.22750356,1.2974,4.0,1.67892,2.43810418,76.141
165.0,15.5,52.0,76.5,4.25240851,9.57789,1.69614207,1.847,4.0,1.71,4.47975717,60.075,0.06977337,438.4,0.0,10.0,5.182,1.69614207,0.39021,1.857,6.0,2.54,1.6541585,60.075
62.0,134.0,56.5,81.0,20.47007,9.94664516,0.36749,0.0,4.0,4.188,1.6541585,28.0101,0.04673175,326.5,1.0,4.0,5.2412,5.2412,0.817084,1.957,4.0,0.787,0.07071068,2.01588
120.0,125.0,32.0,93.0,0.346,1.29536237,0.36749,0.0,6.0,3.882,0.41295036,18.0153,0.05920685,287.25,1.0,12.0,27.8806313,0.39021,0.09107,0.715,2.64,3.21,0.98570685,93.9529
4.0,67.0,50.5,38.5,9.94664516,0.32192,0.39021,1.957,6.0,3.438,1.6541585,31.9988,0.18249688,416.5,0.0,6.0,5.182,0.85179,6.22750356,1.847,6.0,0.787,0.0,146.0554
8.0,4.0,42.5,83.5,5.182,1.0012,1.69614207,1.826526,6.0,1.71,0.36769553,17.0073,0.06977337,333.9,1.0,8.64,5.24631,20.5597234,0.4912,1.67229184,2.64,2.507,4.41046071,80.063
6.0,45.5,96.0,108.0,27.8806313,0.50424,1.67195,1.857,4.0,2.247,0.0,16.0425,0.05141102,289.0,0.0,6.0,9.94664516,1.69614207,0.4912,1.957,6.0,2.103,2.51258831,60.075
141.0,36.0,46.0,58.0,5.182,0.50424,0.4912,1.38,4.0,1.136,2.83596962,15.0234751,0.03679119,311.45,1.0,10.0,5.182,5.2412,0.85179,1.67229184,2.64,1.67892,2.09633013,17.0305
110.0,18.5,23.0,80.0,20.46362,14.5217696,1.69614207,0.11011,4.0,1.298,1.3576325,93.9529,0.05514621,395.0,0.0,4.0,0.346,0.346,1.6227512,1.847,6.0,2.103,3.02500281,16.0425
18.0,53.5,41.5,85.0,100000.0,1.0012,6.22750356,1.6552,4.0,2.448,0.46244783,31.9988,0.18249688,307.75,0.0,8.64,0.09107,9.94664516,0.173,1.51,2.0,1.67892,0.76412215,30.0061
15.0,52.0,58.0,36.0,0.346,0.09107,0.09107,1.847,6.0,5.39684463,3.90888629,44.0095,0.04930319,376.0,0.0,4.0,0.346,8.34923939,5.2412,0.159,6.0,5.39684463,0.2192031,18.0153
51.5,126.0,75.0,23.5,5.24631,0.85179,0.36749,2.331,2.0,2.448,0.24859606,146.0554,0.02688417,332.0,1.0,8.64,100000.0,60.853,0.62048896,1.4719,2.0,2.448,1.64048773,28.97
5.5,17.5,8.5,102.0,9.40552614,0.25021,0.817084,1.6331,6.0,2.515,0.98994949,44.071,0.06273792,384.2,0.0,6.0,100000.0,1.69614207,0.1091,0.159,4.0,2.215,0.2192031,44.071
3.5,34.5,94.0,57.5,4.828,0.3528,1.176646,1.857,6.0,5.453,1.6541585,141.939,0.09969431,323.5,0.0,8.64,5.24631,1.69614207,0.79287185,1.2974,2.64,3.21,2.43810418,32.0419
28.5,70.5,35.0,57.5,0.09107,1.176646,1.13425949,1.2974,2.0,2.215,0.41295036,26.0373,0.14524111,470.0,1.0,10.0,4.25240851,0.346,1.43767,0.828,4.0,5.61,0.36769553,34.0329
147.0,12.0,53.0,73.0,0.09107,10.4401993,0.4912,1.6331,2.0,2.77,0.46244783,32.0419,0.06977337,377.0,0.0,10.0,5.2412,0.817084,1.43767,1.67229184,2.0,1.562,0.84357839,146.0554
126.0,83.5,20.0,50.0,2.0273542,0.85179,0.4912,0.11011,6.0,4.188,0.24859606,16.0425,0.04520578,285.5,0.0,6.0,0.346,0.82323552,60.853,1.81,2.64,2.515,2.09633013,28.97
40.0,11.0,71.5,83.5,4.25240851,60.853,1.176646,0.45,6.0,2.77,1.64048773,79.926277,0.05648214,329.0,0.0,12.0,4.25240851,0.20285674,0.20285674,1.81,4.0,19.029,2.00771188,44.071
53.5,0.0,94.0,82.0,9.94664516,0.20285674,0.817084,1.81,2.0,2.54,1.6541585,20.00689,0.05648214,311.45,0.0,8.64,20.47007,8.34923939,0.85179,1.81,2.0,0.787,2.43810418,32.0419
73.0,94.0,84.5,104.0,9.94664516,0.32192,0.817084,0.715,2.0,1.953,0.24859606,2.01588,0.05920685,331.95,1.0,4.0,5.24631,0.09107,0.4912,0.159,2.0,1.501,4.41046071,17.0305
64.0,142.0,30.5,79.5,100000.0,0.3528,18.5519677,1.813,4.0,19.029,2.83596962,28.0532,0.038572,303.0,1.0,6.0,5.182,16051.1165,1.92252895,0.0,6.0,2.448,0.07071068,95.92568
170.0,152.0,72.0,62.5,2.0273542,18.5519677,5.2412,1.826526,4.0,1.698,2.92049556,127.91241,0.18249688,339.5,0.0,8.64,5.182,0.85179,1.6227512,0.159,2.0,3.616,0.76412215,34.0329
76.5,69.0,3.0,72.0,20.46362,0.3441739,9.27770838,1.51,6.0,3.02,3.02500281,44.071,0.07815196,333.9,0.0,10.0,0.09107,14.5217696,0.173,1.2974,2.0,1.501,0.07071068,60.075
73.5,98.0,8.0,68.5,0.346,0.3528,6.22750356,1.38,6.0,5.453,1.95366544,35.976793,0.06328546,338.0,1.0,6.0,5.182,1.92252895,5.2412,1.847,4.0,8.749,0.2192031,32.0419
9.5,69.0,42.0,28.0,27.8806313,1.69614207,0.8282,1.67229184,4.0,2.77,0.36769553,80.063,0.04248722,413.0,1.0,8.0,9.94664516,0.39021,5.2412,1.957,4.0,0.69436,0.41295036,53.97324
129.0,65.0,62.5,74.5,9.40552614,0.346,1.176646,1.81,6.0,0.8,3.70806796,50.96825,0.04760546,311.45,0.0,12.0,20.46362,0.346,0.34634,1.67229184,4.0,0.69436,0.2192031,16.0425
145.0,86.0,69.5,10.0,27.8806313,18.5519677,0.32192,1.4719,4.0,1.698,2.23345025,17.0305,0.05793135,413.0,1.0,6.0,0.346,0.82323552,5.2412,1.957,6.0,0.69436,0.84357839,28.0101
31.0,81.0,22.5,60.5,20.47007,0.62048896,4.74202,0.45,6.0,2.507,2.83596962,30.0061,0.11531308,332.0,0.0,6.0,0.09107,1.92252895,0.817084,1.67229184,4.0,2.215,1.64048773,35.976793
163.0,30.5,24.5,35.5,27.8806313,0.25021,0.39021,0.0,2.0,5.39684463,1.6541585,20.00689,0.05235715,358.0,0.0,12.0,20.46362,0.32192,0.09107,1.109,2.64,0.787,0.2192031,53.97324
77.0,106.0,34.0,51.5,0.09107,0.32192,60.853,1.4719,6.0,5.453,2.83596962,127.91241,0.05196981,355.0,0.0,10.0,5.182,0.50424,8.34923939,1.67229184,2.0,0.787,1.64048773,30.0061
19.0,89.0,2.0,25.5,4.25240851,0.20285674,0.36749,1.847,6.0,5.61,0.41295036,64.064,0.05648214,370.0,0.0,6.0,0.09107,5.2412,60.853,1.81,2.64,1.501,0.0,31.9988
96.0,54.5,38.0,19.0,5.2412,8.34923939,8.34923939,0.0,2.0,2.54,3.90888629,17.0305,0.04760546,287.25,0.0,6.0,20.46362,0.82323552,0.817084,1.2974,6.0,3.21,2.00771188,34.0329
20.5,33.5,3.5,87.0,5.182,0.25021,0.20285674,1.62,2.0,2.54,2.00771188,53.97324,0.14524111,346.0,0.0,12.0,0.09107,0.1091,0.4912,0.715,4.0,1.67892,0.0,18.0153
39.5,18.0,10.0,69.0,0.09107,0.3528,0.09107,0.0,2.0,3.438,2.09633013,30.026,0.05793135,289.0,1.0,8.64,9.94664516,60.853,0.09107,0.828,2.0,0.787,0.98994949,60.075
166.0,72.0,81.5,45.0,4.828,0.20285674,0.36749,0.715,2.0,1.698,4.47975717,47.0134,0.03679119,320.0,1.0,8.0,5.182,14.5217696,0.85179,1.857,6.0,19.029,1.70683411,28.0101
11.0,31.0,26.0,85.0,5.2412,1.43767,1.92252895,1.81,6.0,7.325,0.41295036,47.0134,0.07815196,311.45,1.0,6.0,9.94664516,5.2412,0.85179,0.11011,2.64,2.448,2.71717568,76.141
74.0,32.0,12.0,73.0,4.25240851,10.4401993,1.69614207,0.828,2.0,2.507,4.41046071,44.071,0.04071358,332.02,0.0,8.0,5.2412,20.5597234,5.2412,1.2974,2.0,5.09,0.41295036,35.976793
75.0,151.0,38.0,4.5,4.828,0.3441739,0.20285674,1.2974,6.0,1.71,2.71717568,95.92568,0.05514621,442.9,0.0,6.0,20.46362,14.5217696,51.3761602,1.51,6.0,5.09,1.70683411,32.0419
3.0,114.0,54.0,10.5,9.94664516,14.5217696,0.4912,0.11011,4.0,2.247,2.51258831,141.939,0.04077859,377.0,0.0,4.0,4.25240851,0.346,0.4912,0.0,2.0,2.515,2.09633013,28.97
32.0,67.0,95.0,2.5,20.47007,8.34923939,0.32192,1.847,6.0,5.09,1.3576325,44.071,0.0550182,360.5,1.0,8.0,9.94664516,0.50424,6.22750356,0.828,2.64,3.438,0.84357839,30.0061
46.5,166.0,14.0,37.5,4.828,20.5597234,8.34923939,0.159,2.0,5.39684463,0.07071068,28.0532,0.05346877,444.4,1.0,8.0,0.346,8.34923939,0.173,1.4719,2.64,1.698,0.98570685,2.33375552
19.5,114.0,89.0,74.5,5.2412,0.25021,1.176646,0.45,6.0,1.501,0.07071068,28.0101,0.05594409,342.75,0.0,10.0,5.24631,0.346,51.3761602,1.81,2.0,2.103,1.6541585,60.075
0.0,5.5,98.0,29.5,0.346,0.09107,1.176646,1.109,4.0,2.54,1.6541585,47.0134,0.05346877,395.0,0.0,10.0,27.8806313,0.09107,0.32192,0.159,2.0,19.029,0.98994949,44.0095
83.5,3.5,81.0,23.0,5.182,0.346,0.817084,1.51,6.0,7.325,2.23345025,50.96825,0.04135837,289.0,0.0,6.0,5.182,0.85179,9.27770838,1.826526,6.0,5.39684463,0.98570685,18.0153
153.0,96.0,26.5,73.0,9.57789,0.85179,0.4912,1.81,4.0,3.882,3.90888629,80.063,0.06834818,376.5,1.0,12.0,4.25240851,1.67195,1.6227512,0.11011,4.0,2.507,2.09633013,30.0061
132.0,42.5,117.0,111.0,2.0273542,0.346,0.2935265,1.813,2.0,1.136,2.71717568,34.0329,0.04412344,470.0,1.0,4.0,5.2412,0.82323552,1.67195,1.38,2.0,1.698,0.76412215,93.9529
